Action,Time
AddBook,2022-05-03T19:42:54.823297100
Action,Time
AddBook,2022-05-03T19:43:59.172472900
Action,Time
AddBook,2022-05-03T19:44:35.788016500
Action,Time
AddBook,2022-05-03T19:46:15.989969200
Action,Time
AddBook,2022-05-03T19:47:59.485784600
Action,Time
AddBook,2022-05-03T19:49:09.159730900
Action,Time
AddBook,2022-05-03T19:50:46.963187
Action,Time
AddBook,2022-05-03T19:51:34.018679100
Action,Time
AddBook,2022-05-03T19:53:53.802947400
Action,Time
AddBook,2022-05-03T19:55:11.774898600
Action,Time
AddedBook,2022-05-03T20:58:37.338735400
Action,Time
AddedBook,2022-05-03T20:59:33.194396900
Action,Time
AddedEvent,2022-05-03T20:59:50.788207
Action,Time
AddedAdultReader,2022-05-03T21:44:46.866538400
Action,Time
AddedAdultReader,2022-05-03T21:46:15.895530
Action,Time
AddedStudentReader,2022-05-03T21:48:39.476541900
Action,Time
AddedPersonnel,2022-05-03T21:50:18.669206800
Action,Time
AddedAdultReader,2022-05-03T22:09:38.464117100
Action,Time
ShownBooks,2022-05-04T00:35:13.633750100
ShownBooks,2022-05-04T00:35:57.364998100
ShownBooks,2022-05-04T00:36:00.556555300
ShownBooks,2022-05-04T00:36:05.680365100
AddedBook,2022-05-04T00:36:12.809777
Action,Time
AddedEvent,2022-05-04T00:36:53.479567100
Action,Time
ShownBooks,2022-05-04T00:38:13.773864100
Action,Time
ShownBooks,2022-05-04T00:40:21.853631400
ShownBooks,2022-05-04T00:41:04.214182400
AddedBook,2022-05-04T00:41:08.066795700
AddedEvent,2022-05-04T00:42:29.732099600
AddedAdultReader,2022-05-04T00:45:35.162771
AddedStudentReader,2022-05-04T00:46:18.101374800
AddedPersonnel,2022-05-04T00:47:59.912636300
Action,Time
ShownBooks,2022-05-04T00:50:03.504782500
Action,Time
Menu,2022-05-04T10:01:28.400278300
ShownBooks,2022-05-04T10:01:33.328632400
ShownBooksFromTheSameYear,2022-05-04T10:01:47.548491100
Action,Time
Menu,2022-05-04T10:10:47.821618800
ShownEvents,2022-05-04T10:10:55.938465200
Action,Time
Menu,2022-05-04T10:11:27.488698300
ShownEvents,2022-05-04T10:11:31.809618800
Action,Time
Menu,2022-05-04T10:13:04.257452700
ShownEvents,2022-05-04T10:13:23.844731400
Action,Time
Menu,2022-05-04T10:16:32.371477200
ShownEvents,2022-05-04T10:16:37.371774300
Action,Time
Menu,2022-05-04T10:52:27.077417700
ShownEvents,2022-05-04T10:52:30.293882100
Action,Time
Menu,2022-05-04T11:18:00.203587500
ShownEvents,2022-05-04T11:18:03.065019100
Action,Time
Menu,2022-05-04T11:18:28.762325200
ShownEvents,2022-05-04T11:18:30.953413100
Action,Time
Menu,2022-05-04T11:20:01.630213200
ShownEvents,2022-05-04T11:20:04.040248700
Action,Time
Menu,2022-05-04T11:26:58.162888200
ShownEvents,2022-05-04T11:27:00.494284600
Action,Time
Menu,2022-05-04T11:29:41.995910500
ShownEvents,2022-05-04T11:29:44.148641300
Action,Time
Menu,2022-05-04T11:34:16.639194
ShownEvents,2022-05-04T11:34:19.676089600
Action,Time
Menu,2022-05-04T11:45:01.097869500
Action,Time
Menu,2022-05-04T11:54:20.119590300
ShownEvents,2022-05-04T11:57:19.588927800
ShownAdultReaders,2022-05-04T11:57:29.535590700
ShownStudentReaders,2022-05-04T11:57:29.568653800
ShownAdultReaders,2022-05-04T11:57:41.378742200
ShownStudentReaders,2022-05-04T11:57:58.181083800
ShownBooks,2022-05-04T11:58:14.050197200
Action,Time
Menu,2022-05-04T11:58:42.556370200
ShownEmployees,2022-05-04T11:58:50.121491900
ShownBooks,2022-05-04T11:59:43.819762800
Action,Time
Menu,2022-05-04T12:07:02.529662400
ShownBooks,2022-05-04T12:07:07.726352600
Action,Time
Menu,2022-05-04T12:08:00.892516900
ShownBooks,2022-05-04T12:08:14.093178500
Action,Time
Menu,2022-05-04T12:09:05.266442600
ShownBooks,2022-05-04T12:09:09.998173100
ShownBooksFromTheSameYear,2022-05-04T12:09:20.509446100
ShownBooksFromTheSameYear,2022-05-04T12:09:29.742687400
Action,Time
Menu,2022-05-04T12:19:28.997156700
ShownBooksFromTheSameYear,2022-05-04T12:19:38.727754800
Action,Time
Menu,2022-05-04T12:22:39.081940100
ShownBooks,2022-05-04T12:22:43.089591700
Action,Time
Menu,2022-05-04T12:23:20.456345900
Action,Time
Menu,2022-05-04T12:24:48.193146600
ShownEvents,2022-05-04T12:24:51.366489700
ShownBooks,2022-05-04T12:24:57.028461300
ShownBooksFromTheSameYear,2022-05-04T12:25:03.923277600
Action,Time
Menu,2022-05-04T12:39:41.759973900
ShownEvents,2022-05-04T12:39:44.132475300
Action,Time
Menu,2022-05-04T12:40:04.562438700
ShownEvents,2022-05-04T12:40:07.962914700
Action,Time
Menu,2022-05-04T12:45:41.457688100
ShownAdultReaders,2022-05-04T12:45:50.017559900
Action,Time
Menu,2022-05-04T12:48:57.602360800
ShownBooks,2022-05-04T12:49:04.021992800
ShownEvents,2022-05-04T12:49:34.540621100
ShownAdultReaders,2022-05-04T12:49:39.734742400
ShownStudentReaders,2022-05-04T12:49:39.767971400
ShownEmployees,2022-05-04T12:49:46.845184200
Action,Time
Menu,2022-05-04T13:01:23.266545300
ShownBooks,2022-05-04T13:01:28.565710600
ShownEvents,2022-05-04T13:01:33.546071800
ShownAdultReaders,2022-05-04T13:01:52.839210300
ShownStudentReaders,2022-05-04T13:01:52.864286300
ShownAdultReaders,2022-05-04T13:02:48.265541700
ShownStudentReaders,2022-05-04T13:02:59.172785800
ShownEmployees,2022-05-04T13:03:05.368277500
Action,Time
Menu,2022-05-04T13:13:22.383269
ShownEmployees,2022-05-04T13:13:26.731736400
Action,Time
Menu,2022-05-04T13:24:32.767558400
ShownBooks,2022-05-04T13:24:41.308429500
Action,Time
Menu,2022-05-04T13:25:51.707232
ShownBooks,2022-05-04T13:25:57.165136600
ShownBooksFromTheSameYear,2022-05-04T13:26:11.378207300
Action,Time
Menu,2022-05-04T13:27:00.712250500
ShownAdultReaders,2022-05-04T13:27:05.924108800
ShownStudentReaders,2022-05-04T13:27:05.989889400
ShownAdultReaders,2022-05-04T13:27:21.938388500
ShownStudentReaders,2022-05-04T13:27:35.148920500
ShownEmployees,2022-05-04T13:27:45.584759400
AddedBook,2022-05-04T13:28:04.086538500
ShownBooks,2022-05-04T13:30:57.369177400
AddedEvent,2022-05-04T13:31:46.589661900
ShownEvents,2022-05-04T13:33:39.818961200
AddedAdultReader,2022-05-04T13:33:54.774715400
ShownAdultReaders,2022-05-04T13:35:05.852154600
ShownStudentReaders,2022-05-04T13:35:05.853151300
AddedStudentReader,2022-05-04T13:35:39.366403400
ShownAdultReaders,2022-05-04T13:36:45.608868400
ShownStudentReaders,2022-05-04T13:36:57.969300500
